commodity,scenario,severity,horizon_months,threshold,prob_exceed
cotton,flood,1.75,12,0.2,0.8372
cotton,flood,2.0,3,0.05,0.7474
cotton,flood,2.0,3,0.1,0.528
cotton,flood,2.0,3,0.15,0.305
cotton,flood,2.0,3,0.2,0.1492
cotton,flood,2.0,6,0.05,0.8934
cotton,flood,2.0,6,0.1,0.8109
cotton,flood,2.0,6,0.15,0.697
cotton,flood,2.0,6,0.2,0.5624
cotton,flood,2.0,12,0.05,0.9744
cotton,flood,2.0,12,0.1,0.9543
cotton,flood,2.0,12,0.15,0.9289
cotton,flood,2.0,12,0.2,0.8893
rubber,baseline,0.0,3,0.05,0.3943
rubber,baseline,0.0,3,0.1,0.2587
rubber,baseline,0.0,3,0.15,0.1533
rubber,baseline,0.0,3,0.2,0.0838
rubber,baseline,0.0,6,0.05,0.4438
rubber,baseline,0.0,6,0.1,0.3449
rubber,baseline,0.0,6,0.15,0.2606
rubber,baseline,0.0,6,0.2,0.1876
rubber,baseline,0.0,12,0.05,0.4937
rubber,baseline,0.0,12,0.1,0.4194
rubber,baseline,0.0,12,0.15,0.3526
rubber,baseline,0.0,12,0.2,0.2905
rubber,baseline,0.25,3,0.05,0.3943
rubber,baseline,0.25,3,0.1,0.2587
rubber,baseline,0.25,3,0.15,0.1533
rubber,baseline,0.25,3,0.2,0.0838
rubber,baseline,0.25,6,0.05,0.4438
rubber,baseline,0.25,6,0.1,0.3449
rubber,baseline,0.25,6,0.15,0.2606
rubber,baseline,0.25,6,0.2,0.1876
rubber,baseline,0.25,12,0.05,0.4937
rubber,baseline,0.25,12,0.1,0.4194
rubber,baseline,0.25,12,0.15,0.3526
rubber,baseline,0.25,12,0.2,0.2905
rubber,baseline,0.5,3,0.05,0.3943
rubber,baseline,0.5,3,0.1,0.2587
rubber,baseline,0.5,3,0.15,0.1533
rubber,baseline,0.5,3,0.2,0.0838
rubber,baseline,0.5,6,0.05,0.4438
rubber,baseline,0.5,6,0.1,0.3449
rubber,baseline,0.5,6,0.15,0.2606
rubber,baseline,0.5,6,0.2,0.1876
rubber,baseline,0.5,12,0.05,0.4937
rubber,baseline,0.5,12,0.1,0.4194
rubber,baseline,0.5,12,0.15,0.3526
rubber,baseline,0.5,12,0.2,0.2905
rubber,baseline,0.75,3,0.05,0.3943
rubber,baseline,0.75,3,0.1,0.2587
rubber,baseline,0.75,3,0.15,0.1533
rubber,baseline,0.75,3,0.2,0.0838
rubber,baseline,0.75,6,0.05,0.4438
rubber,baseline,0.75,6,0.1,0.3449
rubber,baseline,0.75,6,0.15,0.2606
rubber,baseline,0.75,6,0.2,0.1876
rubber,baseline,0.75,12,0.05,0.4937
rubber,baseline,0.75,12,0.1,0.4194
